"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"LCSA*",1,164,82.5,47.4868402823351,82.5,82.5,60.7866,1,164,163,0,-1.22197244605484,3.70809924354783
"CSAcostFirst_2014",2,164,22.7428176403427,2.08600970001008,22.6504528272255,22.6195175211697,2.04498432129221,18.4655436906351,29.7271168197832,11.2615731291481,0.623394056694566,0.473940085518951,0.162889991093349
"CSApointChangeFirst",3,164,-1.81038547312715,0.778438469379514,-1.955010788293,-1.84893158265342,0.713874577808258,-3.39673692205529,1.77150367518575,5.16824059724103,0.804192411363681,1.70368637772614,0.0607858320809036
"CSAcostFirst_2019",4,164,20.9324321672155,1.83706098521825,20.6164951971261,20.8043013865791,1.90878701540101,17.7668793528439,27.6339448781134,9.86706552526949,0.794916125573723,0.755425136883716,0.143450362440162
"CSAstarterOverTotPP_2014",5,164,2.13680236126941,1.26638645052231,1.92548204834836,2.00569683617692,1.24722229250155,0.137029619479287,5.81991675434591,5.68288713486663,0.830122406299884,0.0767059829876677,0.0988881679914139
"CSAstarterRatioPPchange",6,164,0.728396974026837,1.05654720688085,0.442895453811029,0.578943096884207,0.722249835165173,-1.25427908224109,4.99817355998322,6.25245264222431,1.40172136854655,2.03988292313067,0.0825024759557406
"CSAstarterOverTotPP_2019",7,164,2.88358731365438,1.9938477932038,2.50491750685548,2.63327612255609,1.7488824339058,0.18621112409063,9.84203110255051,9.65581997845988,1.14234295488128,1.00233886970845,0.155693355248966
"CSAstarterRatioDecade",8,164,4.918501529326,3.05788101855891,4.41110976684733,4.59654834887107,3.10631883778994,0.321532251535374,14.3989595777821,14.0774273262468,0.913307772164876,0.344860389147961,0.238780391038054
"CSApointcontributionFromExternal_14",9,164,0.504397391037443,0.999260138950777,0.284236386076666,0.405142554174458,0.801256719957488,-1.37574657913683,4.51384652921801,5.88959310835483,1.17559771244762,2.01320350940875,0.078029107502637
"CSApointChangeExternal",10,164,-0.0708426136420774,0.663206878344835,-0.067346634545447,-0.0785556067697341,0.599497440004522,-1.91571823544966,2.53632613416891,4.45204436961857,0.323248335379777,1.12390680254759,0.051787756550756
"CSApointcontributionFromExternal_19",11,164,0.433554777395365,1.09920242663253,0.294391966420396,0.340574174404897,0.890901677649578,-2.21922981441221,3.84866021150454,6.06789002591675,0.764733488136253,0.663637891616708,0.0858332890221436
"CSApointcontributionFromExternal",12,164,0.909268032679688,1.95168081115112,0.717638204155542,0.709031836341906,1.73952086442775,-2.87446682063357,7.7752833145215,10.6497501351551,1.00150386496066,1.14897624638764,0.152400667141638
"CSApointcontributionFromForeign_14",13,164,0.472923749486385,0.290563801892376,0.402173478295628,0.430683113596426,0.20473145173627,0.109710025843826,1.7754624010078,1.66575237516397,1.77743431986939,4.17085734660559,0.022689221005094
"CSApointChangeForeign",14,164,0.0105400147486772,0.126555331194904,0.0120121376912538,0.0156522774702722,0.0885593630492447,-0.367531556484516,0.434893206107121,0.802424762591638,-0.3397964719514,1.31434044386597,0.0098823110798833
"CSApointcontributionFromForeign_19",15,164,0.483463764235062,0.294261648021207,0.41880439407368,0.442158125802309,0.214364443132229,0.104424417152846,2.01761842788255,1.91319401072971,2.03582718072341,6.26017478181243,0.0229779742755064
"CSApointcontributionFromForeign",16,164,0.940262579735607,0.560410752250775,0.801169804418585,0.857093503987245,0.435046068802775,0.245927069381702,3.76065418381241,3.51472711443071,2.01364998481078,5.77292362086203,0.0437607276909136
"csaHISPmalePRIMEprev_14",17,164,12.515021736063,15.6186580751273,6.63041405353874,8.97559080923024,4.75675048010894,0.887378517436321,91.936494403214,91.0491158857777,2.7244133466727,8.37230647168135,1.21961229362224
"csaPOINTchangeHISPprev",18,164,1.02272866207715,1.01411103427041,0.794936126226982,0.89527029305794,0.755025195749247,-0.563097465451285,5.78603281463592,6.3491302800872,1.59592526568878,3.69963250917354,0.0791887675973775
"csaHISPmalePRIMEprev_19",19,164,13.5377503981402,16.226185298447,7.52595749704876,9.8750545941067,5.31286163116658,1.05201206503347,93.4187905293319,92.3667784642984,2.59610462363809,7.45106419240646,1.26705219958003
"csaFERTfemalePREV_14",20,164,23.116870273075,1.69998910554694,23.0065766870913,23.0220079281405,1.64665683957286,19.1554759096271,30.6870398051265,11.5315638954994,0.770888409130358,1.65695100225267,0.132746846891456
"csaPOINTchangeFERTfemale",21,164,0.705360225207923,0.927804467031413,0.759980016095502,0.74670291489579,0.897884618996051,-3.04461678189389,3.1830787027633,6.22769548465719,-0.525246862519474,1.02757768855018,0.0724493569566744
"csaFERTfemalePREV_19",22,164,23.8222304982829,1.32328100476915,23.6890421132137,23.7189813112714,1.12010709272649,21.0992253780893,30.1220168162387,9.02279143814945,1.122861542681,2.88890402318092,0.103330886275266
"csaWHITEmaleEARN_14",23,164,82.4971648002468,10.6517663146689,85.8284327283553,83.6706359708253,9.58356951286558,50.8874346782166,97.0648403451036,46.177405666887,-0.904750672229596,0.00832783224972955,0.831763208060086
"csaPOINTchangeWHITEmaleEARN",24,164,-1.33747131197589,1.46139023939012,-1.36450376647516,-1.38113640432555,1.21249596321243,-5.31808219741669,3.62535023074722,8.94343242816391,0.398759576734338,1.1544454728987,0.114115405636423
"csaWHITEmaleEARN_19",25,164,81.1596934882709,10.8300991247746,84.4120078538461,82.3113633553099,9.5536704289629,50.1409499494708,96.7049425861208,46.56399263665,-0.892287528003188,-0.0104292594740429,0.845688660971272
"csa65plusPREV_14",26,164,14.1639157380672,2.79807750276498,13.7545855968038,13.9396108724549,2.2761299595641,8.30394525563876,29.6816621774264,21.3777169217876,1.56920422837031,5.95320993153691,0.218493144831342
"csaPOINTchange65plusPREV",27,164,1.98638707326674,0.52268994124926,1.98045692085847,1.964786638,0.306672440289545,-0.358267480394664,4.87231157503066,5.23057905542532,0.761120430407413,7.20373486227315,0.0408152272131157
"csa65plusPREV_19",28,164,16.1503028113339,3.13050242776823,15.7971147843244,15.9139457781075,2.55308688546276,9.64431872893597,32.7522636757729,23.107944946837,1.46765742388014,5.30116298325992,0.244451170372989
"csaBLACKyouthPREV_14",29,164,13.8605129292834,12.6657633742586,9.59349377502743,11.8755044956177,9.82582590208908,0.522468943667843,55.3532773648223,54.8308084211545,1.25156803154943,0.819236369097139,0.989029956674441
"csaPOINTchangeBLACKyouthPREV",30,164,-0.21397032000814,0.880954001490786,-0.206604926371543,-0.210903233423174,0.652411960179001,-2.63804049944846,3.35421142825666,5.99225192770512,0.188863569806514,1.5448708817902,0.0687909502318184
"csaBLACKyouthPREV_19",31,164,13.6465426092752,12.294103742862,9.62619066626372,11.7019955248879,9.46986586920298,0.449079522244316,55.0598286478605,54.6107491256162,1.29767320870068,1.03372204554989,0.960008215285773
"csaASIANyouthPREV_14",32,164,2.49210557843169,2.21395668459986,1.9323904701189,2.11133157095071,1.22089404768022,0.223636326671682,18.6267036531826,18.403067326511,3.42247046954938,17.9261206228842,0.172880972046193
"csaPOINTchangeASIANyouthPREV",33,164,0.211162539837711,0.376306178608729,0.193976018593216,0.201332129552687,0.338959611087376,-0.908152433006047,1.71310360447226,2.62125603747831,0.345482693961664,1.24899970508428,0.0293845757676255
"csaASIANyouthPREV_19",34,164,2.7032681182694,2.32772830845727,2.01874722308602,2.32549687467689,1.3106872097303,0.32386553996203,19.2718363222553,18.9479707822932,3.15593014944704,15.9753718305262,0.181765043293186
"csaOCCrmMOREthanONE_14",35,164,2.49180655558522,1.81313107467079,1.95038395987438,2.15614201315249,0.846337215690334,0.768143926482663,13.3267010365774,12.5585571100947,3.2501552067167,13.4119101137248,0.141581750364234
"csaPOINTchangeOCCrmMOREthanONE",36,164,0.00230051556682342,0.497521292674662,0.035193002698537,0.0243270302353848,0.317511559066076,-4.06367986014122,1.16498655820295,5.22866641834416,-3.23818637039142,25.6349386449065,0.0388498859483421
"csaOCCrmMOREthanONE_19",37,164,2.49410707115205,1.69195742307565,2.06054502238175,2.19587591885696,0.8613463925303,0.911399753283506,12.4431802556054,11.5317805023219,3.13366479048899,12.6609683645659,0.132119677858538
"csaDENSITY_2014",38,164,8.77175217060426e-05,8.31161203358126e-05,6.23304329662682e-05,7.22885962914192e-05,4.31673872210267e-05,7.33732341897863e-06,0.000652035102254567,0.000644697778835589,3.18016257394499,14.4909269437924,6.49027859321496e-06
"pointCHANGEcsaDENSITY",39,164,2.69427257283087e-06,4.56195605572755e-06,1.29100285416861e-06,1.81215942780849e-06,2.30463505188058e-06,-3.58226107737088e-06,2.08837853987147e-05,2.44660464760856e-05,2.02286672424613,4.08468528869507,3.5622891939674e-07
"csaDENSITY_2019",40,164,9.04117942788735e-05,8.48642917167994e-05,6.37898412856835e-05,7.45677279173721e-05,4.52903965818139e-05,7.74480043368485e-06,0.000655046974125834,0.000647302173692149,3.03266628479888,13.2468879248025,6.62678784371231e-06
